y_cm,rate,run,frame,kept_y_cm,kept_run,kept_frame
26.0,0.001792792274260965,auto_scan-2026-07-23_09-48-16,jul23-002-tableyp000260.000mm-gantryxp000060.500mm-yp000120.000mm-zm000086.000mm-shot0000.npy,26.0,auto_scan-2026-07-23_09-48-16,jul23-002-tableyp000260.000mm-gantryxp000060.500mm-yp000120.000mm-zm000074.000mm-shot0000.npy
32.0,0.001025255926428895,auto_scan-2026-07-23_09-48-16,jul23-002-tableyp000320.000mm-gantryxp000055.500mm-yp000060.000mm-zm000078.000mm-shot0000.npy,32.0,auto_scan-2026-07-23_09-48-16,jul23-002-tableyp000320.000mm-gantryxp000060.500mm-yp000060.000mm-zm000086.000mm-shot0000.npy
34.0,0.0025785099775422022,auto_scan-2026-07-23_09-48-16,jul23-002-tableyp000340.000mm-gantryxp000060.500mm-yp000040.000mm-zm000086.000mm-shot0000.npy,34.0,auto_scan-2026-07-23_09-48-16,jul23-002-tableyp000340.000mm-gantryxp000060.500mm-yp000040.000mm-zm000082.000mm-shot0000.npy
35.0,0.0028974630905951515,auto_scan-2026-07-23_09-48-16,jul23-002-tableyp000350.000mm-gantryxp000060.500mm-yp000030.000mm-zm000086.000mm-shot0000.npy,35.0,auto_scan-2026-07-23_09-48-16,jul23-002-tableyp000350.000mm-gantryxp000060.500mm-yp000030.000mm-zm000082.000mm-shot0000.npy
36.0,0.002543057643028016,auto_scan-2026-07-23_09-48-16,jul23-002-tableyp000360.000mm-gantryxp000060.500mm-yp000020.000mm-zm000082.000mm-shot0000.npy,36.0,auto_scan-2026-07-23_09-48-16,jul23-002-tableyp000360.000mm-gantryxp000060.500mm-yp000020.000mm-zm000086.000mm-shot0000.npy
37.0,0.002466188061635422,auto_scan-2026-07-23_09-48-16,jul23-002-tableyp000370.000mm-gantryxp000060.500mm-yp000010.000mm-zm000086.000mm-shot0000.npy,37.0,auto_scan-2026-07-23_09-48-16,jul23-002-tableyp000370.000mm-gantryxp000060.500mm-yp000010.000mm-zm000082.000mm-shot0000.npy
46.0,0.003669697182875453,auto_scan-2026-07-23_10-42-35,jul23-003-tableyp000460.000mm-gantryxp000060.500mm-yp000090.000mm-zm000083.000mm-shot0000.npy,46.0,auto_scan-2026-07-23_10-16-43,jul23-003-tableyp000460.000mm-gantryxp000060.500mm-yp000090.000mm-zm000082.000mm-shot0000.npy
47.0,0.0031065359284653594,auto_scan-2026-07-23_10-42-35,jul23-003-tableyp000470.000mm-gantryxp000060.500mm-yp000080.000mm-zm000083.000mm-shot0000.npy,47.0,auto_scan-2026-07-23_10-16-43,jul23-003-tableyp000470.000mm-gantryxp000060.500mm-yp000080.000mm-zm000082.000mm-shot0000.npy
48.0,0.0038987189463067728,auto_scan-2026-07-23_10-42-35,jul23-003-tableyp000480.000mm-gantryxp000060.500mm-yp000070.000mm-zm000083.000mm-shot0000.npy,48.0,auto_scan-2026-07-23_10-16-43,jul23-003-tableyp000480.000mm-gantryxp000060.500mm-yp000070.000mm-zm000082.000mm-shot0000.npy
49.0,0.003263188405936094,auto_scan-2026-07-23_10-42-35,jul23-003-tableyp000490.000mm-gantryxp000060.500mm-yp000060.000mm-zm000083.000mm-shot0000.npy,49.0,auto_scan-2026-07-23_10-16-43,jul23-003-tableyp000490.000mm-gantryxp000060.500mm-yp000060.000mm-zm000082.000mm-shot0000.npy
